Comment,Designator,Footprint,LCSC
75,"R12,R13",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C114757
10k,"R1,R2,R6",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11616
2.2uF,"C7,C8",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C12530
47uF,"C23,C24",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C140782
100nF,"C1,C18,C2,C22,C6,C9",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525
1k,"R3,R4,R5",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C1527
10uF,"C11,C12,C13,C14,C15,C16",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C15525
1uF,C5,C_0603_1608Metric,C15849
2.2k,"R10,R11",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25879
3.3k,R7,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25890
100p,"C25,D6",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C3018525
22,"R8,R9",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C325383
LED,D3,LED_0402_1005Metric,C434447
LED,D2,LED_0402_1005Metric,C434448
4.7uF,"C26,C3,C4",C_0805_2012Metric,C76651
LED,D4,LED_0402_1005Metric,C965790
4.7uF,"C17,C19,C20,C21",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C98192
XC6219B332MR,U6,SOT-23-5,
LIS3DH,U4,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,
TestPoint,TP2,SolderPad_2.5x2.5,
22uH,L1,L_Vishay_IFSC-1515AH_4x4x1.8mm,
MountingHole,H2,MountingHole_3.2mm_M3,
TestPoint,TP24,SolderPad_2.5x2.5,
TestPoint,TP20,SolderPad_2.5x2.5,
TestPoint,TP17,SolderPad_2.5x2.5,
TestPoint,TP23,SolderPad_2.5x2.5,
MountingHole,H4,MountingHole_3.2mm_M3,
TestPoint,TP28,SolderPad_2.5x2.5,
BMP280,U3,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,
MountingHole,H1,MountingHole_3.2mm_M3,
TestPoint,TP27,SolderPad_2.5x2.5,
TestPoint,TP26,SolderPad_2.5x2.5,
TestPoint,TP10,SolderPad_2.5x2.5,
TestPoint,TP13,SolderPad_2.5x2.5,
MountingHole,H3,MountingHole_3.2mm_M3,
TestPoint,TP14,SolderPad_2.5x2.5,
TestPoint,TP11,SolderPad_2.5x2.5,
 	CSTCE8M00G52-R0,Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,
TestPoint,TP16,SolderPad_2.5x2.5,
TestPoint,TP1,SolderPad_2.5x2.5,
TestPoint,TP21,SolderPad_2.5x2.5,
Conn_01x08_Socket,J2,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,
TestPoint,TP8,SolderPad_2.5x2.5,
TPS5420D,U2,SOIC-8_3.9x4.9mm_P1.27mm,
STM32F405RGTx,U1,LQFP-64_10x10mm_P0.5mm,
TestPoint,TP15,SolderPad_2.5x2.5,
TestPoint,TP9,SolderPad_2.5x2.5,
TestPoint,TP19,SolderPad_2.5x2.5,
MMA8452QR1,U5,QFN-16_0.5MM,
TestPoint,TP7,SolderPad_2.5x2.5,
TestPoint,TP12,SolderPad_2.5x2.5,
LIS3MDL,U7,LGA-12_2x2mm_P0.5mm,
TestPoint,TP30,SolderPad_2.5x2.5,
TestPoint,TP5,SolderPad_2.5x2.5,
USB_B_Micro,J1,USB_Micro-B_XKB_U254-051T-4BH83-F1S,
D_Small,D5,D_SOD-323F,
TestPoint,TP4,SolderPad_2.5x2.5,
TestPoint,TP6,SolderPad_2.5x2.5,
TestPoint,TP3,SolderPad_2.5x2.5,
TestPoint,TP25,SolderPad_2.5x2.5,
D_TVS,D1,D_SMA,
TestPoint,TP32,SolderPad_2.5x2.5,
TestPoint,TP29,SolderPad_2.5x2.5,
TestPoint,TP18,SolderPad_2.5x2.5,
Crystal_GND24,Y3,Crystal_SMD_2016-4Pin_2.0x1.6mm,
TestPoint,TP31,SolderPad_2.5x2.5,
TestPoint,TP22,SolderPad_2.5x2.5,
AT7456,U8,TSSOP-28_4.4x9.7mm_P0.65mm,
SW_Push,SW2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
SW_Push,SW1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
